2024-08-09T13:29:05Z - CPU: 80, MEM: 15251, TEMP: 55, POWER: 73
2024-08-09T13:29:28Z - CPU: 54, MEM: 3575, TEMP: 41, POWER: 66
2024-08-09T13:29:29Z - CPU: 74, MEM: 2468, TEMP: 43, POWER: 69
2024-08-09T13:29:30Z - CPU: 96, MEM: 18982, TEMP: 38, POWER: 114
2024-08-09T13:29:31Z - CPU: 28, MEM: 16884, TEMP: 49, POWER: 117
2024-08-09T13:29:32Z - CPU: 60, MEM: 28514, TEMP: 75, POWER: 102
2024-08-09T13:29:33Z - CPU: 57, MEM: 1232, TEMP: 35, POWER: 85
2024-08-09T13:29:34Z - CPU: 81, MEM: 24865, TEMP: 45, POWER: 67
2024-08-09T13:29:35Z - CPU: 92, MEM: 27759, TEMP: 57, POWER: 66
2024-08-09T13:29:36Z - CPU: 22, MEM: 11516, TEMP: 40, POWER: 102
2024-08-09T13:29:37Z - CPU: 74, MEM: 10348, TEMP: 69, POWER: 71
2024-08-09T13:29:38Z - CPU: 20, MEM: 25906, TEMP: 57, POWER: 60
2024-08-09T13:29:39Z - CPU: 97, MEM: 8265, TEMP: 45, POWER: 55
2024-08-09T13:29:40Z - CPU: 90, MEM: 2852, TEMP: 74, POWER: 51
2024-08-09T13:29:41Z - CPU: 84, MEM: 9703, TEMP: 73, POWER: 91
2024-08-09T13:29:42Z - CPU: 56, MEM: 2519, TEMP: 73, POWER: 81
2024-08-09T13:29:43Z - CPU: 39, MEM: 14351, TEMP: 43, POWER: 81
2024-08-09T13:29:44Z - CPU: 29, MEM: 16502, TEMP: 82, POWER: 98
2024-08-09T13:29:45Z - CPU: 35, MEM: 21741, TEMP: 56, POWER: 75
2024-08-09T13:29:46Z - CPU: 77, MEM: 7373, TEMP: 68, POWER: 97
2024-08-09T13:29:47Z - CPU: 60, MEM: 23696, TEMP: 36, POWER: 101
2024-08-09T13:29:48Z - CPU: 83, MEM: 17870, TEMP: 61, POWER: 46
2024-08-09T13:29:49Z - CPU: 93, MEM: 876, TEMP: 33, POWER: 52
2024-08-09T13:29:50Z - CPU: 18, MEM: 22032, TEMP: 84, POWER: 53
2024-08-09T13:29:51Z - CPU: 73, MEM: 21719, TEMP: 57, POWER: 97
2024-08-09T13:29:52Z - CPU: 88, MEM: 9803, TEMP: 70, POWER: 102
2024-08-09T13:29:53Z - CPU: 49, MEM: 17807, TEMP: 43, POWER: 90
2024-08-09T13:29:54Z - CPU: 29, MEM: 10205, TEMP: 78, POWER: 90
2024-08-09T13:29:55Z - CPU: 58, MEM: 22067, TEMP: 85, POWER: 108
2024-08-09T13:29:56Z - CPU: 59, MEM: 20296, TEMP: 68, POWER: 68
2024-08-09T13:29:57Z - CPU: 91, MEM: 17861, TEMP: 58, POWER: 84
2024-08-09T13:29:58Z - CPU: 28, MEM: 3762, TEMP: 51, POWER: 92
2024-08-09T13:29:59Z - CPU: 60, MEM: 21550, TEMP: 83, POWER: 95
2024-08-09T13:30:00Z - CPU: 14, MEM: 24676, TEMP: 37, POWER: 73
2024-08-09T13:30:01Z - CPU: 41, MEM: 5306, TEMP: 78, POWER: 97
2024-08-09T13:30:02Z - CPU: 54, MEM: 24907, TEMP: 60, POWER: 65
2024-08-09T13:30:03Z - CPU: 80, MEM: 20632, TEMP: 62, POWER: 71
2024-08-09T13:30:04Z - CPU: 45, MEM: 31610, TEMP: 75, POWER: 48
2024-08-09T13:30:05Z - CPU: 21, MEM: 31068, TEMP: 80, POWER: 74
2024-08-09T13:30:06Z - CPU: 79, MEM: 8358, TEMP: 81, POWER: 93
2024-08-09T13:30:07Z - CPU: 91, MEM: 11132, TEMP: 79, POWER: 70
2024-08-09T13:30:08Z - CPU: 53, MEM: 5289, TEMP: 80, POWER: 118
2024-08-09T13:30:09Z - CPU: 63, MEM: 16598, TEMP: 40, POWER: 91
2024-08-09T13:30:10Z - CPU: 48, MEM: 18432, TEMP: 59, POWER: 66
2024-08-09T13:30:11Z - CPU: 32, MEM: 29481, TEMP: 38, POWER: 110
2024-08-09T13:30:12Z - CPU: 98, MEM: 16973, TEMP: 68, POWER: 115
2024-08-09T13:30:13Z - CPU: 35, MEM: 3735, TEMP: 85, POWER: 80
2024-08-09T13:30:14Z - CPU: 93, MEM: 7381, TEMP: 33, POWER: 98
2024-08-09T13:30:15Z - CPU: 85, MEM: 13354, TEMP: 85, POWER: 112
2024-08-09T13:30:16Z - CPU: 73, MEM: 3330, TEMP: 41, POWER: 92
2024-08-09T13:30:17Z - CPU: 91, MEM: 11339, TEMP: 58, POWER: 118
2024-08-09T13:30:18Z - CPU: 45, MEM: 1282, TEMP: 47, POWER: 105
2024-08-09T13:30:19Z - CPU: 34, MEM: 18764, TEMP: 44, POWER: 119
2024-08-09T13:30:20Z - CPU: 17, MEM: 16295, TEMP: 73, POWER: 103
2024-08-09T13:30:21Z - CPU: 28, MEM: 23008, TEMP: 48, POWER: 58
2024-08-09T13:30:22Z - CPU: 15, MEM: 14374, TEMP: 49, POWER: 69
2024-08-09T13:30:23Z - CPU: 87, MEM: 11166, TEMP: 50, POWER: 40
2024-08-09T13:30:24Z - CPU: 77, MEM: 14168, TEMP: 49, POWER: 91
2024-08-09T13:30:25Z - CPU: 25, MEM: 7554, TEMP: 79, POWER: 72
2024-08-09T13:30:26Z - CPU: 91, MEM: 19675, TEMP: 47, POWER: 87
2024-08-09T13:30:27Z - CPU: 46, MEM: 17003, TEMP: 38, POWER: 120
2024-08-09T13:30:28Z - CPU: 92, MEM: 13170, TEMP: 65, POWER: 114
2024-08-09T13:30:29Z - CPU: 96, MEM: 5022, TEMP: 61, POWER: 45
2024-08-09T13:30:30Z - CPU: 86, MEM: 19328, TEMP: 44, POWER: 117
2024-08-09T13:30:31Z - CPU: 59, MEM: 13121, TEMP: 71, POWER: 81
2024-08-09T13:30:32Z - CPU: 80, MEM: 9617, TEMP: 38, POWER: 118
2024-08-09T13:30:33Z - CPU: 74, MEM: 16097, TEMP: 54, POWER: 104
2024-08-09T13:30:34Z - CPU: 65, MEM: 7378, TEMP: 33, POWER: 40
2024-08-09T13:30:35Z - CPU: 59, MEM: 12781, TEMP: 50, POWER: 107
2024-08-09T13:30:36Z - CPU: 66, MEM: 1971, TEMP: 70, POWER: 49
2024-08-09T13:30:37Z - CPU: 88, MEM: 22584, TEMP: 87, POWER: 55
2024-08-09T13:30:38Z - CPU: 21, MEM: 21453, TEMP: 58, POWER: 102
2024-08-09T13:30:39Z - CPU: 15, MEM: 20603, TEMP: 75, POWER: 119
2024-08-09T13:30:40Z - CPU: 40, MEM: 3479, TEMP: 49, POWER: 40
2024-08-09T13:30:41Z - CPU: 15, MEM: 7889, TEMP: 76, POWER: 48
2024-08-09T13:30:42Z - CPU: 75, MEM: 974, TEMP: 38, POWER: 61
2024-08-09T13:30:43Z - CPU: 68, MEM: 20282, TEMP: 64, POWER: 51
2024-08-09T13:30:44Z - CPU: 93, MEM: 12791, TEMP: 64, POWER: 77
2024-08-09T13:30:45Z - CPU: 78, MEM: 10264, TEMP: 49, POWER: 75
2024-08-09T13:30:46Z - CPU: 21, MEM: 29172, TEMP: 34, POWER: 112
2024-08-09T13:30:47Z - CPU: 43, MEM: 27829, TEMP: 57, POWER: 78
2024-08-09T13:30:48Z - CPU: 18, MEM: 18768, TEMP: 38, POWER: 90
2024-08-09T13:30:49Z - CPU: 87, MEM: 12219, TEMP: 60, POWER: 78
2024-08-09T13:30:50Z - CPU: 51, MEM: 8794, TEMP: 71, POWER: 40
2024-08-09T13:30:51Z - CPU: 100, MEM: 13754, TEMP: 64, POWER: 48
2024-08-09T13:30:52Z - CPU: 66, MEM: 28801, TEMP: 52, POWER: 79
2024-08-09T13:30:53Z - CPU: 42, MEM: 26533, TEMP: 79, POWER: 98
2024-08-09T13:30:54Z - CPU: 28, MEM: 27357, TEMP: 65, POWER: 75
2024-08-09T13:30:55Z - CPU: 95, MEM: 21845, TEMP: 82, POWER: 74
2024-08-09T13:30:56Z - CPU: 12, MEM: 22182, TEMP: 36, POWER: 83
2024-08-09T13:30:57Z - CPU: 26, MEM: 18437, TEMP: 80, POWER: 53
2024-08-09T13:30:58Z - CPU: 37, MEM: 25018, TEMP: 33, POWER: 95
2024-08-09T13:30:59Z - CPU: 27, MEM: 25813, TEMP: 35, POWER: 86
2024-08-09T13:31:00Z - CPU: 83, MEM: 3356, TEMP: 45, POWER: 46
2024-08-09T13:31:01Z - CPU: 79, MEM: 24391, TEMP: 34, POWER: 90
2024-08-09T13:31:02Z - CPU: 15, MEM: 10096, TEMP: 84, POWER: 103
2024-08-09T13:31:03Z - CPU: 56, MEM: 15301, TEMP: 33, POWER: 90
2024-08-09T13:31:04Z - CPU: 38, MEM: 22400, TEMP: 33, POWER: 102
2024-08-09T13:31:05Z - CPU: 34, MEM: 8729, TEMP: 42, POWER: 45
2024-08-09T13:31:06Z - CPU: 16, MEM: 14009, TEMP: 65, POWER: 52
2024-08-09T13:31:07Z - CPU: 20, MEM: 16371, TEMP: 42, POWER: 85
2024-08-09T13:31:08Z - CPU: 83, MEM: 31663, TEMP: 70, POWER: 44
2024-08-09T13:31:09Z - CPU: 45, MEM: 15206, TEMP: 72, POWER: 111
2024-08-09T13:31:10Z - CPU: 58, MEM: 13461, TEMP: 84, POWER: 64
2024-08-09T13:31:11Z - CPU: 100, MEM: 13675, TEMP: 42, POWER: 104
2024-08-09T13:31:12Z - CPU: 49, MEM: 4549, TEMP: 60, POWER: 64
2024-08-09T13:31:13Z - CPU: 64, MEM: 23645, TEMP: 53, POWER: 103
2024-08-09T13:31:14Z - CPU: 77, MEM: 16446, TEMP: 37, POWER: 96
2024-08-09T13:31:15Z - CPU: 79, MEM: 3708, TEMP: 60, POWER: 56
2024-08-09T13:31:16Z - CPU: 33, MEM: 21537, TEMP: 71, POWER: 82
2024-08-09T13:31:17Z - CPU: 84, MEM: 3178, TEMP: 57, POWER: 113
2024-08-09T13:31:18Z - CPU: 75, MEM: 17204, TEMP: 79, POWER: 49
2024-08-09T13:31:19Z - CPU: 59, MEM: 15281, TEMP: 72, POWER: 120
2024-08-09T13:31:20Z - CPU: 18, MEM: 28511, TEMP: 42, POWER: 87
2024-08-09T13:31:21Z - CPU: 96, MEM: 31035, TEMP: 86, POWER: 73
2024-08-09T13:31:22Z - CPU: 72, MEM: 16690, TEMP: 34, POWER: 76
2024-08-09T13:31:23Z - CPU: 46, MEM: 31704, TEMP: 61, POWER: 104
2024-08-09T13:31:24Z - CPU: 89, MEM: 21084, TEMP: 44, POWER: 50
2024-08-09T13:31:25Z - CPU: 94, MEM: 18108, TEMP: 49, POWER: 92
2024-08-09T13:31:26Z - CPU: 28, MEM: 10293, TEMP: 61, POWER: 76
2024-08-09T13:31:27Z - CPU: 69, MEM: 11262, TEMP: 51, POWER: 95
2024-08-09T13:31:28Z - CPU: 35, MEM: 1108, TEMP: 77, POWER: 107
2024-08-09T13:31:29Z - CPU: 30, MEM: 24346, TEMP: 82, POWER: 108
2024-08-09T13:31:30Z - CPU: 35, MEM: 8315, TEMP: 40, POWER: 82
2024-08-09T13:31:31Z - CPU: 64, MEM: 5999, TEMP: 67, POWER: 64
2024-08-09T13:31:32Z - CPU: 89, MEM: 22087, TEMP: 55, POWER: 59
2024-08-09T13:31:33Z - CPU: 99, MEM: 17090, TEMP: 49, POWER: 58
2024-08-09T13:31:34Z - CPU: 52, MEM: 23680, TEMP: 54, POWER: 97
2024-08-09T13:31:35Z - CPU: 96, MEM: 18361, TEMP: 81, POWER: 66
2024-08-09T13:31:36Z - CPU: 27, MEM: 28719, TEMP: 68, POWER: 95
2024-08-09T13:31:37Z - CPU: 78, MEM: 22625, TEMP: 47, POWER: 84
2024-08-09T13:31:38Z - CPU: 52, MEM: 26882, TEMP: 73, POWER: 104
2024-08-09T13:31:39Z - CPU: 26, MEM: 21673, TEMP: 40, POWER: 58
2024-08-09T13:31:40Z - CPU: 60, MEM: 25546, TEMP: 45, POWER: 104
2024-08-09T13:31:41Z - CPU: 24, MEM: 15589, TEMP: 48, POWER: 82
2024-08-09T13:31:42Z - CPU: 55, MEM: 31997, TEMP: 78, POWER: 63
2024-08-09T13:31:43Z - CPU: 47, MEM: 13388, TEMP: 34, POWER: 84
2024-08-09T13:31:44Z - CPU: 36, MEM: 6965, TEMP: 36, POWER: 55
2024-08-09T13:31:45Z - CPU: 95, MEM: 4986, TEMP: 34, POWER: 90
2024-08-09T13:31:46Z - CPU: 18, MEM: 18863, TEMP: 49, POWER: 49
2024-08-09T13:31:47Z - CPU: 38, MEM: 2799, TEMP: 82, POWER: 104
2024-08-09T13:31:48Z - CPU: 57, MEM: 8909, TEMP: 69, POWER: 120
2024-08-09T13:31:49Z - CPU: 20, MEM: 21901, TEMP: 60, POWER: 72
2024-08-09T13:31:50Z - CPU: 43, MEM: 19093, TEMP: 52, POWER: 82
2024-08-09T13:31:51Z - CPU: 22, MEM: 31518, TEMP: 67, POWER: 92
2024-08-09T13:31:52Z - CPU: 40, MEM: 31023, TEMP: 64, POWER: 67
2024-08-09T13:31:53Z - CPU: 71, MEM: 8908, TEMP: 87, POWER: 104
2024-08-09T13:31:54Z - CPU: 64, MEM: 5483, TEMP: 33, POWER: 100
2024-08-09T13:31:55Z - CPU: 20, MEM: 30119, TEMP: 55, POWER: 112
2024-08-09T13:31:56Z - CPU: 68, MEM: 24376, TEMP: 48, POWER: 118
2024-08-09T13:31:57Z - CPU: 79, MEM: 4387, TEMP: 75, POWER: 115
2024-08-09T13:31:58Z - CPU: 58, MEM: 10798, TEMP: 88, POWER: 40
2024-08-09T13:31:59Z - CPU: 73, MEM: 2455, TEMP: 79, POWER: 84
2024-08-09T13:32:00Z - CPU: 28, MEM: 10245, TEMP: 60, POWER: 70
2024-08-09T13:32:01Z - CPU: 86, MEM: 31935, TEMP: 44, POWER: 76
2024-08-09T13:32:02Z - CPU: 47, MEM: 17180, TEMP: 64, POWER: 97
2024-08-09T13:32:03Z - CPU: 30, MEM: 13371, TEMP: 71, POWER: 116
2024-08-09T13:32:04Z - CPU: 93, MEM: 2291, TEMP: 84, POWER: 101
2024-08-09T13:32:05Z - CPU: 33, MEM: 22541, TEMP: 76, POWER: 68
2024-08-09T13:32:06Z - CPU: 74, MEM: 9393, TEMP: 52, POWER: 68
2024-08-09T13:32:07Z - CPU: 62, MEM: 12575, TEMP: 87, POWER: 61
2024-08-09T13:32:08Z - CPU: 29, MEM: 27040, TEMP: 77, POWER: 45
2024-08-09T13:32:09Z - CPU: 69, MEM: 31675, TEMP: 49, POWER: 53
2024-08-09T13:32:10Z - CPU: 34, MEM: 28075, TEMP: 63, POWER: 47
2024-08-09T13:32:11Z - CPU: 50, MEM: 18961, TEMP: 73, POWER: 86
2024-08-09T13:32:12Z - CPU: 72, MEM: 13287, TEMP: 60, POWER: 101
2024-08-09T13:32:13Z - CPU: 86, MEM: 30389, TEMP: 43, POWER: 41
2024-08-09T13:32:14Z - CPU: 64, MEM: 26375, TEMP: 43, POWER: 75
2024-08-09T13:32:15Z - CPU: 92, MEM: 10014, TEMP: 73, POWER: 84
2024-08-09T13:32:16Z - CPU: 75, MEM: 9190, TEMP: 32, POWER: 84
2024-08-09T13:32:17Z - CPU: 76, MEM: 24104, TEMP: 34, POWER: 89
2024-08-09T13:32:18Z - CPU: 40, MEM: 21505, TEMP: 70, POWER: 59
2024-08-09T13:32:19Z - CPU: 81, MEM: 7827, TEMP: 50, POWER: 93
2024-08-09T13:32:20Z - CPU: 58, MEM: 6138, TEMP: 58, POWER: 100
2024-08-09T13:32:21Z - CPU: 35, MEM: 7553, TEMP: 36, POWER: 70
2024-08-09T13:32:22Z - CPU: 61, MEM: 16918, TEMP: 39, POWER: 53
2024-08-09T13:32:23Z - CPU: 70, MEM: 1276, TEMP: 34, POWER: 55
2024-08-09T13:32:24Z - CPU: 51, MEM: 24768, TEMP: 82, POWER: 57
2024-08-09T13:32:25Z - CPU: 71, MEM: 18030, TEMP: 41, POWER: 83
2024-08-09T13:32:26Z - CPU: 87, MEM: 22788, TEMP: 61, POWER: 116
2024-08-09T13:32:27Z - CPU: 75, MEM: 838, TEMP: 67, POWER: 79
2024-08-09T13:32:28Z - CPU: 44, MEM: 4373, TEMP: 45, POWER: 119
2024-08-09T13:32:29Z - CPU: 39, MEM: 24795, TEMP: 71, POWER: 87
2024-08-09T13:32:30Z - CPU: 97, MEM: 10952, TEMP: 75, POWER: 60
2024-08-09T13:32:31Z - CPU: 53, MEM: 18465, TEMP: 38, POWER: 55
2024-08-09T13:32:32Z - CPU: 47, MEM: 19990, TEMP: 77, POWER: 45
2024-08-09T13:32:33Z - CPU: 65, MEM: 15093, TEMP: 37, POWER: 76
2024-08-09T13:32:34Z - CPU: 27, MEM: 926, TEMP: 78, POWER: 71
2024-08-09T13:32:35Z - CPU: 62, MEM: 5431, TEMP: 49, POWER: 94
2024-08-09T13:32:36Z - CPU: 35, MEM: 7969, TEMP: 76, POWER: 116
2024-08-09T13:32:37Z - CPU: 23, MEM: 14634, TEMP: 73, POWER: 114
2024-08-09T13:32:38Z - CPU: 37, MEM: 14852, TEMP: 61, POWER: 102
2024-08-09T13:32:39Z - CPU: 98, MEM: 20982, TEMP: 52, POWER: 54
2024-08-09T13:32:40Z - CPU: 85, MEM: 15825, TEMP: 59, POWER: 103
2024-08-09T13:32:41Z - CPU: 81, MEM: 9766, TEMP: 64, POWER: 116
2024-08-09T13:32:42Z - CPU: 40, MEM: 1237, TEMP: 75, POWER: 49
2024-08-09T13:32:43Z - CPU: 38, MEM: 31274, TEMP: 39, POWER: 111
2024-08-09T13:32:44Z - CPU: 59, MEM: 26116, TEMP: 39, POWER: 99
2024-08-09T13:32:45Z - CPU: 23, MEM: 2293, TEMP: 71, POWER: 109
2024-08-09T13:32:46Z - CPU: 71, MEM: 11441, TEMP: 88, POWER: 62
2024-08-09T13:32:47Z - CPU: 99, MEM: 26593, TEMP: 66, POWER: 75
2024-08-09T13:32:48Z - CPU: 17, MEM: 9687, TEMP: 86, POWER: 90
2024-08-09T13:32:49Z - CPU: 58, MEM: 22119, TEMP: 78, POWER: 59
2024-08-09T13:32:50Z - CPU: 24, MEM: 6452, TEMP: 73, POWER: 49
2024-08-09T13:32:51Z - CPU: 98, MEM: 9064, TEMP: 85, POWER: 76
2024-08-09T13:32:52Z - CPU: 84, MEM: 11688, TEMP: 74, POWER: 50
2024-08-09T13:32:53Z - CPU: 91, MEM: 1126, TEMP: 46, POWER: 107
2024-08-09T13:32:54Z - CPU: 16, MEM: 25529, TEMP: 46, POWER: 94
2024-08-09T13:32:55Z - CPU: 84, MEM: 13131, TEMP: 70, POWER: 104
2024-08-09T13:32:56Z - CPU: 98, MEM: 8210, TEMP: 40, POWER: 48
2024-08-09T13:32:57Z - CPU: 73, MEM: 1088, TEMP: 66, POWER: 94
2024-08-09T13:32:58Z - CPU: 11, MEM: 17919, TEMP: 59, POWER: 94
2024-08-09T13:32:59Z - CPU: 86, MEM: 27737, TEMP: 51, POWER: 110
2024-08-09T13:33:00Z - CPU: 90, MEM: 25075, TEMP: 44, POWER: 71
2024-08-09T13:33:01Z - CPU: 41, MEM: 20452, TEMP: 51, POWER: 46
2024-08-09T13:33:02Z - CPU: 100, MEM: 25603, TEMP: 82, POWER: 97
2024-08-09T13:33:03Z - CPU: 89, MEM: 16797, TEMP: 41, POWER: 70
2024-08-09T13:33:04Z - CPU: 52, MEM: 27241, TEMP: 71, POWER: 94
2024-08-09T13:33:05Z - CPU: 40, MEM: 13245, TEMP: 87, POWER: 65
2024-08-09T13:33:06Z - CPU: 44, MEM: 7169, TEMP: 77, POWER: 46
2024-08-09T13:33:07Z - CPU: 51, MEM: 5221, TEMP: 76, POWER: 60
2024-08-09T13:33:08Z - CPU: 88, MEM: 4815, TEMP: 56, POWER: 96
2024-08-09T13:33:09Z - CPU: 54, MEM: 1590, TEMP: 67, POWER: 80
2024-08-09T13:33:10Z - CPU: 16, MEM: 22135, TEMP: 87, POWER: 49
2024-08-09T13:33:11Z - CPU: 78, MEM: 1085, TEMP: 52, POWER: 67
2024-08-09T13:33:12Z - CPU: 78, MEM: 26307, TEMP: 51, POWER: 97
2024-08-09T13:33:13Z - CPU: 58, MEM: 29089, TEMP: 49, POWER: 66
2024-08-09T13:33:14Z - CPU: 16, MEM: 22049, TEMP: 49, POWER: 120
2024-08-09T13:33:15Z - CPU: 62, MEM: 16116, TEMP: 82, POWER: 104
2024-08-09T13:33:16Z - CPU: 13, MEM: 29731, TEMP: 85, POWER: 44
2024-08-09T13:33:17Z - CPU: 69, MEM: 31560, TEMP: 46, POWER: 79
2024-08-09T13:33:18Z - CPU: 22, MEM: 2045, TEMP: 84, POWER: 115
2024-08-09T13:33:19Z - CPU: 50, MEM: 20629, TEMP: 45, POWER: 117
2024-08-09T13:33:20Z - CPU: 34, MEM: 6922, TEMP: 84, POWER: 70
2024-08-09T13:33:21Z - CPU: 100, MEM: 5687, TEMP: 79, POWER: 117
2024-08-09T13:33:22Z - CPU: 21, MEM: 21319, TEMP: 75, POWER: 67
2024-08-09T13:33:23Z - CPU: 46, MEM: 29550, TEMP: 49, POWER: 120
2024-08-09T13:33:24Z - CPU: 10, MEM: 24023, TEMP: 71, POWER: 76
2024-08-09T13:33:25Z - CPU: 72, MEM: 4573, TEMP: 50, POWER: 98
2024-08-09T13:33:26Z - CPU: 52, MEM: 27005, TEMP: 57, POWER: 91
2024-08-09T13:33:27Z - CPU: 28, MEM: 24587, TEMP: 71, POWER: 101
2024-08-09T13:33:28Z - CPU: 74, MEM: 12581, TEMP: 88, POWER: 109
2024-08-09T13:33:29Z - CPU: 35, MEM: 25574, TEMP: 75, POWER: 93
2024-08-09T13:33:30Z - CPU: 81, MEM: 5723, TEMP: 67, POWER: 45
2024-08-09T13:33:31Z - CPU: 24, MEM: 7483, TEMP: 37, POWER: 104
2024-08-09T13:33:32Z - CPU: 73, MEM: 19410, TEMP: 71, POWER: 90
2024-08-09T13:33:33Z - CPU: 37, MEM: 30783, TEMP: 42, POWER: 74
2024-08-09T13:33:34Z - CPU: 43, MEM: 4063, TEMP: 39, POWER: 45
2024-08-09T13:33:35Z - CPU: 38, MEM: 20489, TEMP: 52, POWER: 106
2024-08-09T13:33:36Z - CPU: 15, MEM: 30460, TEMP: 33, POWER: 91
2024-08-09T13:33:37Z - CPU: 48, MEM: 1844, TEMP: 40, POWER: 44
2024-08-09T13:33:38Z - CPU: 60, MEM: 17990, TEMP: 68, POWER: 78
2024-08-09T13:33:39Z - CPU: 43, MEM: 3011, TEMP: 71, POWER: 73
2024-08-09T13:33:40Z - CPU: 12, MEM: 24062, TEMP: 35, POWER: 104
2024-08-09T13:33:41Z - CPU: 68, MEM: 18134, TEMP: 73, POWER: 120
2024-08-09T13:33:42Z - CPU: 50, MEM: 13323, TEMP: 48, POWER: 120
2024-08-09T13:33:43Z - CPU: 58, MEM: 8694, TEMP: 71, POWER: 74
2024-08-09T13:33:44Z - CPU: 65, MEM: 24183, TEMP: 53, POWER: 90
2024-08-09T13:33:45Z - CPU: 83, MEM: 30766, TEMP: 32, POWER: 104
2024-08-09T13:33:46Z - CPU: 31, MEM: 11758, TEMP: 82, POWER: 60
2024-08-09T13:33:47Z - CPU: 86, MEM: 29294, TEMP: 53, POWER: 90
2024-08-09T13:33:48Z - CPU: 56, MEM: 22594, TEMP: 75, POWER: 50
2024-08-09T13:33:49Z - CPU: 11, MEM: 31242, TEMP: 39, POWER: 78
2024-08-09T13:33:50Z - CPU: 76, MEM: 13034, TEMP: 73, POWER: 42
2024-08-09T13:33:51Z - CPU: 82, MEM: 15162, TEMP: 64, POWER: 71
2024-08-09T13:33:52Z - CPU: 76, MEM: 925, TEMP: 72, POWER: 51
2024-08-09T13:33:53Z - CPU: 71, MEM: 14232, TEMP: 53, POWER: 60
2024-08-09T13:33:54Z - CPU: 93, MEM: 15420, TEMP: 50, POWER: 120
2024-08-09T13:33:55Z - CPU: 77, MEM: 26789, TEMP: 55, POWER: 116
2024-08-09T13:33:56Z - CPU: 74, MEM: 8838, TEMP: 74, POWER: 44
2024-08-09T13:33:57Z - CPU: 28, MEM: 29252, TEMP: 84, POWER: 43
2024-08-09T13:33:58Z - CPU: 40, MEM: 3426, TEMP: 67, POWER: 55
2024-08-09T13:33:59Z - CPU: 40, MEM: 25917, TEMP: 58, POWER: 62
2024-08-09T13:34:00Z - CPU: 18, MEM: 3577, TEMP: 55, POWER: 106
2024-08-09T13:34:01Z - CPU: 100, MEM: 4539, TEMP: 84, POWER: 118
2024-08-09T13:34:02Z - CPU: 84, MEM: 1048, TEMP: 69, POWER: 92
2024-08-09T13:34:03Z - CPU: 34, MEM: 27086, TEMP: 35, POWER: 75
2024-08-09T13:34:04Z - CPU: 42, MEM: 18610, TEMP: 70, POWER: 79
2024-08-09T13:34:05Z - CPU: 94, MEM: 29674, TEMP: 58, POWER: 120
2024-08-09T13:34:06Z - CPU: 63, MEM: 26716, TEMP: 41, POWER: 71
2024-08-09T13:34:07Z - CPU: 55, MEM: 19814, TEMP: 46, POWER: 63
2024-08-09T13:34:08Z - CPU: 86, MEM: 28112, TEMP: 64, POWER: 61
2024-08-09T13:34:09Z - CPU: 71, MEM: 15615, TEMP: 82, POWER: 44
2024-08-09T13:34:10Z - CPU: 44, MEM: 15467, TEMP: 80, POWER: 47
2024-08-09T13:34:11Z - CPU: 93, MEM: 21843, TEMP: 34, POWER: 67
2024-08-09T13:34:12Z - CPU: 71, MEM: 31407, TEMP: 58, POWER: 92
2024-08-09T13:34:13Z - CPU: 42, MEM: 10086, TEMP: 59, POWER: 111
2024-08-09T13:34:14Z - CPU: 25, MEM: 3265, TEMP: 72, POWER: 78
